Name,Grower,Retail Price,Unit,Available,Estimate or Exact,Description
"Chicken, Non GMO Pasture Raised Whole",JEM Farm,34,Each,4,Exact,"Even if you don't buy these chickens PLEASE read this info. 

Average weight of these birds are about 5lbs. And they are whole. 

Our chickens are fed a very strict diet of 100% non GMO feed from day one. Everything the chickens eat, we eat when we eat the chickens. In other words: consumers of factory farmed chickens partake of the same hormones, drugs, antibiotics, GMOs and carcinogens fed to the chickens. These birds are also fed caffeine to keep them awake and arsenic.

It is a fact that two thirds of chickens in the grocery stores are contaminated with arsenic, dangerous bacteria or salmonella. The FDA finally admitted to the presence of arsenic purposefully fed to chickens in factory farms and passed on to us on our dinner plates. Amazing as arsenic is a toxic chemical proven to cause cancer and sometimes death. To deal with the bacteria, television icon, Dr. Oz recommends washing your chicken in chlorine to kill the bacteria. Chlorine and arsenic! Are they insane!? I'll eat non GMO and save the chlorine for cleaning the toilet.

"
"Chicken, NON GMO Pasture Raised Whole",JEM Farm,26,Each,5,Exact,"Average weight 4-4.5 pounds 

Our chickens are fed a very strict diet of 100% non GMO feed from day one. Everything the chickens eat, we eat when we eat the chickens. In other words: consumers of factory farmed chickens partake of the same hormones, drugs, antibiotics, GMOs and carcinogens fed to the chickens. These birds are also fed caffeine to keep them awake and arsenic. It is a fact that two thirds of chickens in the grocery stores are contaminated with arsenic, dangerous bacteria or salmonella. The FDA finally admitted to the presence of arsenic purposefully fed to chickens in factory farms and passed on to us on our dinner plates. Amazing as arsenic is a toxic chemical proven to cause cancer and sometimes death. To deal with the bacteria, television icon, Dr. Oz recommends washing your chicken in chlorine to kill the bacteria. Chlorine and arsenic! Are they insane!? I'll eat non GMO and save the chlorine for cleaning the toilet. 
"
"Chicken, Whole Pasture Raised (2.5-3lbs)",Kany Farm,11,each,8,Exact,"Between 2.5 and 3.0 lbs, these make great frying chickens. Lots of meat on the legs and thighs as well as the breast on this breed. USDA inspected whole chicken raised in my garden and on our grass.  All Natural. Nothing added! 
These chickens help me keep the the destructive bugs out of my garden by finding the grubs and bugs in the Fall. They also fertilize for me. They get excellent food and a natural life. We get great chicken and excellent veggies. We also contribute to our local community by supplementing our chickens with all natural feed from Afton Wholesale Feed & Grain. "
"Chicken, Whole Pasture Raised (3-3.5lbs)",Kany Farm,13,each,0,Exact,"USDA inspected whole chicken raised in my garden and on our grass. Between 3.0-3.5 lbs. All Natural. Nothing added! 
These chickens help me keep the the destructive bugs out of my garden by finding the grubs and bugs in the Fall. They also fertilize for me. They get excellent food and a natural life. We get great chicken and excellent veggies. We also contribute to our local community by supplementing our chickens with all natural feed from Afton Wholesale Feed & Grain. "
"Chicken, Whole Pasture Raised (3.5-4lbs)",Kany Farm,15,each,7,Exact,"USDA inspected whole chicken raised in my garden and on our grass. Between 3.5-4.0 lbs. All Natural. Nothing added! 
These chickens help me keep the the destructive bugs out of my garden by finding the grubs and bugs in the Fall. They also fertilize for me. They get excellent food and a natural life. We get great chicken and excellent veggies. We also contribute to our local community by supplementing our chickens with all natural feed from Afton Wholesale Feed & Grain. "
"Chicken, Whole Pasture Raised (4-4.5 lbs)",Kany Farm,17,each,20,Exact,"USDA inspected whole chicken raised in my garden and on our grass. Between 4.0 - 4.5 lbs. All Natural. Nothing added! 
These chickens help me keep the the destructive bugs out of my garden by finding the grubs and bugs in the Fall. They also fertilize for me. They get excellent food and a natural life. We get great chicken and excellent veggies. We also contribute to our local community by supplementing our chickens with all natural feed from Afton Wholesale Feed & Grain. "
"Chicken, Whole Pasture Raised (4.5-5 lbs)",Kany Farm,19,each,11,Exact,"Between 4.5 and 5 lbs, these make great roasting chickens. Lots of meat on the legs and thighs as well as the breast on this breed. USDA inspected whole chicken raised in my garden and on our grass.  All Natural. Nothing added! 
These chickens help me keep the the destructive bugs out of my garden by finding the grubs and bugs in the Fall. They also fertilize for me. They get excellent food and a natural life. We get great chicken and excellent veggies. We also contribute to our local community by supplementing our chickens with all natural feed from Afton Wholesale Feed & Grain. "
Chicken--Gizzards,Kany Farm,2.5,~ 2 lbs,10,Exact,"USDA inspected. Yum! These are great fried, in casseroles, or stuffing."
Chicken--Leg Quarters,Kany Farm,4.6,2 pk (~1.0 -1.5 lb),16,Exact,USDA inspected leg quarters from chicken raised in my garden and on our grass. All Natural. Nothing added! These chickens help me keep the the destructive bugs out of my garden by finding the grubs and bugs in the Fall. They also fertilize for me. The rest of the year they are on pasture. They get excellent food and a natural life. We get great chicken and excellent veggies. We also contribute to our local community by supplementing our chickens with all natural feed from Afton Wholesale Feed & Grain.
"Chicken--NON GMO STEWING Chicken, Whole",JEM Farm,14,Each,3,Exact,"Chicken and Dumplings......... Yum!

USDA Processed birds from our Laying Flock. These typically are at least a year old and are roosters so they are pretty large. 

These have a FABULOUS flavor and will be a delightful addition to your culinary experience.

Certified Organic. Pasture raised, moved daily, with room to graze and lounge in the sun. 

"
Chicken--Split Breast,Kany Farm,8,2pk. 1.5 - 2 lb.,15,Exact,USDA inspected split breast from out chicken raised in my garden and on our grass. All Natural. Nothing added! These chickens help me keep the the destructive bugs out of my garden by finding the grubs and bugs in the Fall. They also fertilize for me. The rest of the year they are on pasture. They get excellent food and a natural life. We get great chicken and excellent veggies. We also contribute to our local community by supplementing our chickens with all natural feed from Afton Wholesale Feed & Grain.
Chicken--Stock Pack,Kany Farm,7,~4 lbs,0,Exact,"USDA inspected backs and necks from our chicken raised in my garden and on our grass. This makes wonderful home made chicken stock for soups, stews and all of your favorite dishes. All Natural. Nothing added! These chickens help me keep the the destructive bugs out of my garden by finding the grubs and bugs in the Fall. They also fertilize for me. The rest of the year they are on pasture. They get excellent food and a natural life. We get great chicken and excellent veggies. We also contribute to our local community by supplementing our chickens with all natural feed from Afton Wholesale Feed & Grain."
Chicken--Whole cut up (4-4.5 lbs),Kany Farm,17.75,each,4,Exact,"**SALE** USDA inspected whole chicken raised in my garden and on our grass. Between 4-4.5 lbs. All Natural. Nothing added! 
These chickens help me keep the the destructive bugs out of my garden by finding the grubs and bugs in the Fall. They also fertilize for me. They get excellent food and a natural life. We get great chicken and excellent veggies. We also contribute to our local community by supplementing our chickens with all natural feed from Afton Wholesale Feed & Grain. "
Chicken--Wings,Kany Farm,6,~2 lb (8-10 wings),0,Exact,"Great for Buffalo, BBQ, or Teriyaki sauce. USDA inspected wings from chicken raised in my garden and on our grass. All Natural. Nothing added! These chickens help me keep the the destructive bugs out of my garden by finding the grubs and bugs in the Fall. They also fertilize for me. The rest of the year they are on pasture. They get excellent food and a natural life. We get great chicken and excellent veggies. We also contribute to our local community by supplementing our chickens with all natural feed from Afton Wholesale Feed & Grain."
Cilantro Seeds,Ranchito la Chiva,2,1 Small Package,11,Exact,"Jose and Donna'a package of Cilantro Seeds available for planting in March.  
No chemicals."
Coffee - Fairways and Beans Ground,East Tennessee Coffee,9.95,12 oz bag,3,Estimated,"Born from our roaster's love for the game of golf, this is a half caffeinated version of the Jonesborough Java roast. This should provide just enough pick me up to get you started without causing shaky hands. Shaky hands are not good for golf.  "
Coffee - Fairways and Beans Whole,East Tennessee Coffee,9.95,12 oz bag,3,Estimated,"Born from our roaster's love for the game of golf, this is a half caffeinated version of the Jonesborough Java roast. This should provide just enough pick me up to get you started without causing shaky hands. Shaky hands are not good for golf.  "
Coffee - Ground - Columbian Espresso Roast,East Tennessee Coffee,9.95,12 oz bag,3,Exact,A dark Italian style roast utilizing the high mountain grown Colombian beans from the Hulia growing region. Perfect for espresso machines or a good bold pot of drip coffee.  
Coffee - Ground - Guatamala Breakfast,East Tennessee Coffee,9.95,12 oz bag,3,Exact,"Currently our lightest blend utilizing a good amount of blonde beans. This yields a very easy to drink, light, and well rounded cup of coffee"
Coffee - Ground - Jonesborough Java,East Tennessee Coffee,9.95,12 oz bag,2,Exact,"Using the opinions of some of Jonesborough's own residents, this blend was created to be a bold cup of coffee that isn't too dark, so you can enjoy that second cup."
Coffee Whole Bean - Columbian Espresso,East Tennessee Coffee,9.95,12 oz bag,3,Exact,A dark Italian style roast utilizing the high mountain grown Colombian beans from the Hulia growing region. Perfect for espresso machines or a good bold pot of drip coffee.  
Coffee Whole Bean - Decaf City Roast,East Tennessee Coffee,9.95,12 oz bag,3,Exact,Guatemalan decaffeinated beans roasted to a mid city roast  
Coffee Whole Bean - Decaf Dark Roast,East Tennessee Coffee,9.95,12 oz bag,3,Exact,Guatemalan decaffeinated beans roasted to a dark Vienna style roast
Coffee Whole Bean - Guatamala Breakfast Blend,East Tennessee Coffee,9.95,12 oz bag,2,Exact,"Currently our lightest blend utilizing a good amount of blonde beans. This yields a very easy to drink, light, and well rounded cup of coffee. "
Coffee Whole Bean - Jonesborough Java,East Tennessee Coffee,9.95,12 oz bag,3,Estimated,"Using the opinions of some of Jonesborough's own residents, this blend was created to be a bold cup of coffee that isn't too dark, so you can enjoy that second cup."
Cookies--Breakfast Cookies,Carol's Cakes (formerly Two Sisters Baking),6,6 large cookies,4,Exact,"Six (6) large cookies with bacon, corn flakes, and raisins. Great with coffee!"
Cookies--Chocolate Chip,Carol's Cakes (formerly Two Sisters Baking),6,6 large cookies,4,Exact,Six (6) large chocolate chip cookies. 
Cookies--Gluten-Free Oatmeal Raisin,Carol's Cakes (formerly Two Sisters Baking),8,6 large cookies,4,Exact,Six (6) large gluten-free oatmeal raisin cookies.
Cookies--Oatmeal Raisin,Carol's Cakes (formerly Two Sisters Baking),6,6 large cookies,4,Exact,Six (6) large oatmeal raisin cookies.
Cookies--Peanut Butter,Carol's Cakes (formerly Two Sisters Baking),6,6 large cookies,3,Exact,Six (6) large peanut butter cookies. 
Croissant,Good Fork Farm,2.5,1ea,20,Exact,"European-style, cultured butter folded between layers of flakey pastry. Made with a blend of white and whole wheat flours."
Croissant - Chocolate,Good Fork Farm,3,1ea,19,Exact,Croissant dough filled with Barry Callebaut Chocolate.
Eggs--Certified Organic,JEM Farm,6.5,Dozen,4,Exact,"Free range, pasture raised, non GMO verified eggs. Our hens are raised WITHOUT any antibiotics, hormones or animal products in their feed. 

Fed a completely non GMO and organic diet from their first day of life our chickens live in moveable poultry enclosures surrounded by electric poultry netting. Both the enclosure and netting get moved everyday so everybody gets fresh grass. 

We always have about 300 birds at any given time and collect 10-12 dozen eggs per day.

These eggs are simply delicious, with dark brown yolks our eggs are great for breakfast, lunch or dinner. In fact many people have told us they regularly have ""eggs for supper"" because they're so filling."
Eggs--Free Range,Brew and Plow Farm,3.5,1 Doz,1,Exact,"We have a wide variety of Free Range, Organically Fed Chickens. Our Eggs will be white, tan, Brown, and green. "
Eggs--Free Range,Dotson Farm LLC,3.5,1 Doz,6,Exact,
Eggs--Free Range Brown,Kany Farm,2,1/2 Doz,1,Exact,"Large to jumbo brown eggs. These rich, flavorful eggs come from our free range hens. We use no antibiotics or hormones and are not ranging on land where pesticides or herbicides are used. We supplement with an all natural feed, which by law contains no animal products, and scratch grain from the local mill in Afton. You will see the difference in the deep orange color of the yolk. Check out our pics on Kany Farms FB page to see how our chickens are raised. Look for the ""Proudly Laid in the USA"" label.  "
Eggs--Free Range Brown,Kany Farm,5.6,18,1,Exact,"Large to jumbo brown eggs. These rich, flavorful eggs come from our free range hens. We use no antibiotics or hormones and are not ranging on land where pesticides or herbicides are used. We supplement with an all natural feed, which by law contains no animal products, and scratch grain from a local mill in Afton. You will see the difference in the deep orange color of the yolk. Check out our pics on Kany Farms FB page to see how our chickens are raised. Look for the ""Proudly Laid in the USA"" label."
Eggs--Free Range Brown,Kany Farm,3.5,1 Doz.med,0,Exact,"Medium to large brown eggs. These rich, flavorful eggs come from our free range hens. We use no antibiotics or hormones and are not ranging on land where pesticides or herbicides are used. We supplement with an all natural feed, which by law contains no animal products, and scratch grains from a local mill in Afton. You will see the difference in the deep orange color of the yolk. Check out our pics on Kany Farms FB page to see how our chickens are raised. Look for the ""Proudly Laid in the USA"" label. "
Eggs--Free Range Brown--Super Jumbo,Kany Farm,4,1 Doz.,0,Exact,"We had to get bigger cartons for these eggs! I wonder if it's all the grubs they get out of my garden? These rich, flavorful eggs come from our free range hens. We use no antibiotics or hormones and are not ranging on land where pesticides or herbicides are used. We supplement with an all natural feed, which by law contains no animal products, and scratch grains from a local mill in Afton. You will see the difference in the deep golden color of the yolk. Check out our pics on Kany Farms FB page to see how our chickens are raised. Look for the ""Proudly Laid in the USA"" label. "
Eggs--medium,Ranchito la Chiva,3.5,1 dozen,4,Exact,Jose and Donna's free Range chickens have 3 acres to roam and have a diet of forage and cracked corn. One dozen.
Goat Cheese - camembert style goat cheese,Ziegenwald Dairy,8,7-9 oz,4,Exact,"creamy, white goat cheese, small round wheels, around 8 oz each. Best when used quickly, aging continues in refrigerator and cheese will become softer as it ages."
Goat cheese chevre style --Plain,Ziegenwald Dairy,7,8 oz,10,Exact,"USDA approved soft white cheese, similar to cream cheese, no added salt or flavors. Mild tangy taste. Can be used on salads, for italian cooking such as ravioli, lasagna, stuffed shells, etc. Cheese is packaged in reclosable sandwich type baggy. Cheese can be kept in freezer for about 6 months but is best when used within 2 weeks after thawing. Needs to be refrigerated. We do not inject our animals with antibiotics or growth hormones to increase milk production."
Goat cheese Chevre style with apricot,Ziegenwald Dairy,8,8 oz,5,Exact,"USDA approved soft chevre style goat cheese with added apricot jam and sugar, for desert, with fruit, crackers/cookies. Made from grade A pasteurized goats milk. "
Goat cheese chevre Style with chives,Ziegenwald Dairy,8,8 oz,10,Exact,"USDA approved soft goat cheese with added chives, salt, pepper. Goes well with baked potoato, salads, or use it as spread for wraps/sandwiches instead of mayonaise. Made from grade A pasteurized goats milk, no added preservatives. Keeps will in freezer up to 6 mos, best when used within 2 weeks afer thawing."
Goat cheese chevre style with garlic and basil,Ziegenwald Dairy,8,8 oz,10,Exact,"Soft white goat cheese with added garlic and homegrown basil. Goes well with salads, or in italian cooking such as lasagna, stuffed shells, ravioli, tastes great on baked potato. Packaged in sandwich type reclosable baggies, can be kept in freezer for about 6 months, best when used within 2 weeks after thawing, needs to be refrigerated.  "
Goat cheese chevre style with garlic black pepper,Ziegenwald Dairy,8,8 oz,10,Exact,"USDA approved white soft goat cheese with added black pepper, garlic, salt. Tastes great on crackers, in salads, as a spread for wraps instead of mayonaise, in italian cooking, etc. All of our soft cheese is packaged in reclosable sandwich type baggies.  

All of our cheeses are produced from the milk of our animals in Scott Co. Virginia. Our cheese is licensed by the USDA."
Goat cheese Chevre style with Honey and Nuts,Ziegenwald Dairy,8,8 oz,5,Exact,USDA approved chevre style goat cheese with added honey and either walnuts or pecans. May have some of both kinds of nuts. 
Goat cheese chevre style with mulberry jam,Ziegenwald Dairy,8,8 oz,5,Exact,"USDA approved Chevre style goat cheese with homemade mulberry jam and sugar. Good to add to desert, with fruit, crackers/cookies. Made from grade A pasteurized goats milk. No added preservatives. Keeps in freezer for about 6 months, best when used within 2 weeks after thawing. Keep in frige when not frozen."
Goat cheese chevre style with peach jam,Ziegenwald Dairy,8,8 oz,5,Exact,"USDA approved soft chevre style goat cheese with added peach jam and sugar for desert, fruit, with cookies/crackers. Made from pasteurized grade A goats milk. "
Goat cheese chevre Style with raspberry jam,Ziegenwald Dairy,8,8 oz,5,Exact,USDA approved soft goat cheese with added Raspberry jam and sugar. Made from pasteurized grade A goats milk. Goes nicely with fruit and cookies.   
Goat cheese chevre style with sacred basil,Ziegenwald Dairy,8,8 oz,10,Exact,"Soft goat cheese with added homegrown sacred basil. Made from pasteurized grade A goats milk. No preservatives added, keeps well in freezer for up to 6 months, best when used within 2 weeks after thawing. Keep refrigerated when not frozen."
Goat cheese Colby style semi hard naturally aged cheese,Ziegenwald Dairy,8,8 oz,3,Estimated,"This is a colby style cheese made from grade A pasteurized goats milk. This cheese is naturally aged and has no preservatives. Taste ranges from mild to sharp depending on age of cheese. At this time we offer a cheese that is mild to medium sharp in taste. This cheese usually comes in wheels of 1-2 lbs and wheels of 5-6 lbs, we package in approx. 8 oz wedges. Sometimes we coat the wheels with food grade wax, so you might receive a piece of cheese that has wax on its rind only. Wax is not meant to be eaten. This cheese keeps well refrigerated, but does not like to be frozen. If frozen, the tase will not change but you can no longer slice the cheese when thawed, it will cumble. All our cheeses are made from Grade A pasteurized milk because of extensive Virginia State/federal requirements concerning raw milk cheeses. "
Goat Cheese--Feta style packed in olive oil,Ziegenwald Dairy,6,6 oz,8,Exact,"Feta style goat cheese, cured in salt water (brine), packed in olive oil. Salty, crumbly goat cheese, usually used on salads. "
Granola Bar - Dark Chocolate Cherry,Peacock Artisan Breads,2,24,19,Estimated,
Granola Bars Cranberry,Peacock Artisan Breads,2,24,10,Estimated,
Granola Bars Raisin,Peacock Artisan Breads,2,24,24,Estimated,
"Market Art Print: ""Fresh Lettuce"" 2012",Ginny Wall - All Nature Sings,10.5,5x7 Matted to 8x10,9,Exact,"This watercolor became the 2012 poster for our farmers market and appears on the banner at our information table.  A portion of this painting was used as an icon for the ""Meet Your Farmer"" articles that ran this past season in the local newspapers.

You may recognize some faces in this painting.

10% of the purchase price of this print will be returned to the Jonesborough Farmers Market.


"
"Market Art Print: Rooster ""Shadow Pranc'n"" 2010",Ginny Wall - All Nature Sings,10.5,5x7 Matted to 8x10,5,Exact,"This watercolor of ""Shadow Pranc'n"" was chosen to represent the market for the 2010 season.  

10% of the purchase price of this print will be returned to the Jonesborough Farmers Market.



"
"Market Art Prints: ""Chalk"" 2009",Ginny Wall - All Nature Sings,10.5,5x7 Matted to 8x10,3,Estimated,"The watercolor titled ""Chalk"" was painted on location in the 2009 season.  It was inspired by our market's family friendly environment and the lovely shadows the children were casting onto their 'canvas'.  These kids were delighted with the process of their chalk art.  If you look carefully, you can see I took the liberty of amending their scribbles into the words (JOBO Farmers Market).  Look again and you may recognize these young artists.

10% of the purchase price of this print will be returned to the Jonesborough Farmers Market."
"Market Art Prints: ""Don't Skip Scratch""",Ginny Wall - All Nature Sings,10.5,5x7 Matted to 8x10,4,Exact,"This watercolor was painted outdoors at the market during the 2008 season.  The bread vendor was ""Scratch"" bakery and the name of the man in the painting is ""Skip"" - thus the title ""Don't SKIP Scratch"".  

It is fun to try to capture the excitement of our very own Jonesborough market using our own vendors.  I have several more paintings in progress that were started during our second season (2009).

10% of the purchase price of this print will be returned to the Jonesborough Farmers Market.



"
"Market Art Prints: ""Market Morning"" 2008",Ginny Wall - All Nature Sings,10.5,5x7 print Matted to 8x10,3,Exact,"This watercolor became the very first poster for the Jonesborough Farmers Market in the 2008 season.  

10% of sales of this print will be returned to the market.




"
"Market Art Prints: ""Pepper"" 2011",Ginny Wall - All Nature Sings,10.5,5x7 Matted to 8x10,5,Exact,"This watercolor became the 2011 poster for our farmers market.

10% of the purchase price of this print will be returned to the Jonesborough Farmers Market.


"
Muffins--Banana Nut,Carol's Cakes (formerly Two Sisters Baking),8,6 per container,1,Exact,A neighbor gave this recipe to my mother back in the 1950's. These muffins contain pecans and are very moist!.
Muffins--Banana Nut,Carol's Cakes (formerly Two Sisters Baking),6,4 per container,3,Estimated,A neighbor gave this banana nut recipe to my mother back in the 1950's. Muffins contain pecans and are very moist!
Muffins--Blueberry,Carol's Cakes (formerly Two Sisters Baking),6,4 per container,3,Exact,Extra large moist muffins with lots of blueberries.  
